Index,Location,Year
305,"Department of Orthopaedics, Vejle Hospital, Vejle, Denmark.",2004
306,"Oregon Health and Science University School of Nursing, Klamath Falls, USA.",2004
307,"Department of Emergency Medicine, New York-Presbyterian Hospital, Columbia University College of Physicians and Surgeons, New York, NY 10032, USA.",2004
308,"Department of Oral Biology and Maxillofacial Pathology, Medical College of Georgia, School of Dentistry, Augusta, Georgia 30912-1126, USA.",2004
309,"Department of Physical Chemistry, Abo Akademi University, Porthansgatan 3-5, 20500 Turku, Finland.",2004
310,"Section of Cardiology, Dartmouth-Hitchcock Medical Center, One Medical Center Dr, Lebanon, NH 03756-0001, USA.",2004
311,"Department of Radiology and MGH Center for Biomarkers in Imaging, Massachusetts General Hospital, 15 Parkman St, WACC 515, Boston, MA 02114, USA.",2003
312,"Department of Radiology, Massachusetts General Hospital, Boston, MA 02114, USA.",2002
313,"Massachusetts General Hospital, Boston, MA, USA.",2002
314,"Massachusetts General Hospital, USA.",2002
315,"Department of Radiology, Massachusetts General Hospital, 32 Fruit St., Boston, MA 02114, USA.",2001
316,"Department of Radiology, Massachusetts General Hospital, 55 Fruit St, Boston, MA 02114, USA.",2001
317,"Department of Radiology, Massachusetts General Hospital, Boston 02114, USA.",2000
318,"Department of Radiology, Massachusetts General Hospital and Harvard University School of Medicine, Boston 02114, USA.",1999
319,"Massachusetts General Hospital and Harvard University School of Medicine, Boston 02114, USA.",1999
320,"Department of Radiology, Massachusetts General Hospital, Boston 02114, USA.",1999
321,"UK Medical Devices Agency, Hannibal House, Elephant and Castle, London SE1 6TQ, UK.",2001
322,"Institute for Biodiagnostics, National Research Council Canada, Winnipeg, Canada.",2004
323,"BalaPharm International, Grafton, Massachusetts, USA.",2004
324,"Medical Science Building, Room C-636, 185 S. Orange Avenue, Newark NJ 07103, USA.",2004
325,"Department of Mechanical and Industrial Engineering, University of Illinois at Urbana-Champaign, Urbana, Illinois 61801, USA.",2004
326,"Wireless EMC Center, University of Oklahoma, Norman, Oklahoma 73019-1016, USA.",2004
327,"School of Pharmacy, The Queen's University of Belfast, Medical Biology Centre, 97 Lisburn Road, Belfast BT9 7BL, Northern Ireland, UK.",2004
328,"Motorola Labs, 8000 West Sunrise Blvd., Ft. Lauderdale, FL 33324, USA.",2004
329,"Motorola Florida Research Labs, Ft. Lauderdale 33324, USA.",2002
330,"Biomedical Engineering Center, The Ohio State University, Columbus, Ohio 43210, USA.",2004
331,"Internal Medicine, Jackson Memorial Hospital, University of Miami, Miami, FL, USA.",2004
332,"Department of Intensive Care, Erasme Hospital, Free University of Brussels, Brussels, Belgium.",2004
333,"L'Oréal Research and Development, Chevilly-Larue, France.",2004
334,"Medical Microbiology, Dermatology and Infection, Lund University, Lund, Sweden.",2004
335,"Northwestern Memorial Hospital, Chicago, IL, USA.",2004
336,"Laboratoire de Recherche sur les Biomatériaux et les Biotechnologies, Université du Littoral-Côte d'Opale, INSERM IR2 Bassin Napoléon BP 120, F-62327 Boulogne-sur-mer, France.",2004
337,"Jewish Hospital Cardiothoracic Surgical Research Institute, University of Louisville, 500 South Floyd St, Room 118, Department of Surgery, University of Louisville, Louisville, KY 40202, USA.",2004
338,"Milwaukee County Medical Examiner's Office, Milwaukee, WI, USA.",2004
339,"Pfizer Kalamazoo, MI 49007, USA.",2004
340,"MEDTAP International, Inc., Seattle, WA 98121, USA.",2004
341,"Veterans Affairs (VA) National Center for Patient Safety, Ann Arbor, Michigan, USA.",2004
342,"Department of Infectious Diseases, University of Sydney, Sydney, NSW 2006, Australia.",2004
343,"Department of Cariology/Endodontology/Pedodontology, Academic Centre for Dentistry Amsterdam, Amsterdam, The Netherlands.",2004
344,"Keck Graduate Institute, 535 Watson Dr., Claremont, CA 91711, USA.",2004
345,"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Thiruvananthapuram, India.",2004
346,"Department of Orthopedics, University of Muenster, Albert-Schweitzer-Str. 33, 48149 Muenster, Germany.",2004
347,"Robert Koch-Institut, Berlin, Germany.",2004
348,"University of Virginia, USA.",1999
349,"St. Elisabeth Hospital, Department of Anaesthesiology, Tilburg, The Netherlands.",2004
350,"Department of Chemical Engineering, University of Nebraska, Lincoln, NE 68588-0643, USA.",2004
351,"Department of Oral and Maxillofacial Surgery, University of Erlangen-Nuremberg, Glueckstrasse 11, Erlangen D-91054, Germany.",2004
352,"Center for Applied Polymer Research, and Department of Macomolecular Science, Case Western Reserve University, Cleveland, Ohio 44106, USA.",2004
353,"Department of Pathology, Case Western Reserve University, Cleveland, Ohio 44106.",1988
354,"National Research Council of Canada, Integrated Manufacturing Technologies Institute, London, Ontario, Canada N6G 4X8.",2004
355,"Research, Development and Engineering, Bausch & Lomb Inc., 1400 N. Goodman Street, Rochester, NY 14609, USA.",2004
356,"IMPACT - the Injury Prevention Centre of Children's Hospital, Winnipeg, Manitoba.",2004
357,"Vanguard Medical Concepts, Inc., Lakeland, Fla, USA.",2004
358,"Department of Medicine, Infectious Diseases Section, Veterans Affairs Medical Center, 2002 Holcombe Boulevard, Houston, TX 77030, USA.",2004
359,"Center for Prostheses Infection, Infectious Disease Section, Baylor College of Medicine, 1333 Moursund Avenue, Suite A221, Houston, TX 77030, USA.",2002
360,"Center for Prostheses Infection, Infectious Disease Section, and Division of Plastic Surgery, Veterans Affairs Medical Center and Baylor College of Medicine, Houston, Texas 77030, USA.",2002
361,"Infectious Disease Section and Center for Prostheses Infection, Veterans Affairs Medical Center and Baylor College of Medicine, Houston, TX 77030, USA.",2001
362,"Department of Medicine, Baylor College of Medicine, Houston, Texas, USA.",1998
363,"Department of Medicine, Baylor College of Medicine and Veterans Affairs Medical Center, Houston, Texas 77030, USA.",1998
364,"Department of Medicine, Baylor College of Medicine, Houston, TX, USA.",1998
365,"Centre for Research on Environmental Microbiology (CREM), Faculty of Medicine, University of Ottawa 451 Smyth Road, Ottawa, Ont. K1H 8M5, Canada.",2004
366,"Centre for Research on Environmental Microbiology, University of Ottawa, Faculty of Medicine, Ottawa, Canada.",2002
367,"Centre for Research on Environmental Microbiology, Faculty of Medicine, University of Ottawa, and the Procter & Gamble Co, Cincinnati and Mason, Ohio, USA.",2002
368,"Lab. Bacteriology-Virology, Central Pharmacy For Hospitals, Paris 5 University, Assistance Publique des Hôpitaux de Paris, 7 rue du Fer à Moulin, F-75005 Paris, France.",2004
369,"Paris V University, Faculté des Sciences Pharmaceutiques & Biologiques de Paris, France.",1999
370,"Graduate School of Biomedical Engineering, University of New South Wales, Sydney NSW 2052, Australia.",2004
371,"Cooperative Research Centre for Eye Research and Technology, University of New South Wales, Sydney, NSW 2052, Australia.",2004
372,"Biomedical Materials Research Group, School of Pharmacy and Biomolecular Sciences, University of Brighton, Moulsecoomb, Brighton BN2 4GJ, UK.",2004
373,"Research and Development Group, Biocompatibles Ltd, Farnham, Surrey, UK.",2000
374,"Biocompatibles Ltd., Farnham Business Park, Weydon Lane, Surrey, GU9 8QL, Farnham, UK",2000
375,"Department of Biocompatible Materials, Institute of Polymer Research Dresden and The Max Bergmann Center of Biomaterials Dresden, Biocompatible Materials, Hohe Str. 6, 01069 Dresden, Germany.",2004
376,"Institut für Polymerforschung Dresden , Germany.",1999
377,"Department of Physiology and Pharmacology, Karolinska Institutet, Stockholm, Sweden.",2004
378,"Department of Plastic Surgery, Gent University Hospital, Belgium.",2004
379,"Military Entrance Processing Command, Chicago, IL, USA.",2004
380,"Medical Oncology Service, University Hospital Nuestra Señora de Candelaria, 38010 Santa Cruz de Tenerife, Canary Islands, Spain.",2004
381,"Laboratoire d'Ingénierie des Systèmes Macromoléculaires, UPR9027, IBSM/CNRS, 31 Chemin Joseph Aiguier, 13402 Marseille Cedex 20, France.",2004
382,"Department of Pharmaceutical Sciences, University of Nottingham, UK.",1995
383,"Medical Service, Infectious Disease Section, Veterans Affairs Medical Center, Baylor College of Medicine, Houston, Texas 77030, USA.",2004
384,"Division of Infectious Diseases, Department of Internal Medicine, Southern Illinois University School of Medicine, Springfield, IL 62794-9636, USA.",2004
385,"Department of Internal Medicine, Southern Illinois University School of Medicine, Springfield 62794-9230, USA.",1995
386,"Department of Biomedical Engineering, Massachusetts General Hospital, Boston, MA, USA.",2004
387,"Department of Micro and Molecular Biology, Brigham Young University Provo, UT 84602, USA.",2004
388,"Technische Hygiene, Charité-Universitätsmedizin Berlin, Campus Benjamin Franklin, Hindenburgdamm 27, 12203 Berlin, Germany.",2004
389,"Technical Hygiene, Universitätsklinikum Benjamin Franklin, Free University Berlin, Germany.",2002
390,"Department of Surgery, University of Miami School of Medicine, Miami, FL 33136, USA.",2004
391,"Dept. of Medicine at KS, Karolinska Institutet & SIS--Swedish Standards Institute, Stockhom, Sweden.",2004
392,"Laboratoire de Biochimie appliquée, Faculté de Pharmacie, Université Louis Pasteur, Illkirch, France.",2004
393,BUPA Dunedin Hospital.,2004
394,"Biomedical Engineering Program, University of Arizona, Tucson, Arizona 85724, USA.",2004
395,"Physiological Sciences Graduate Program, University of Arizona, Tucson, Arizona 85724, USA.",2001
396,"Department of Chemical Engineering, Massachusetts Institute of Technology, Building E25-342, Cambridge, Massachusetts 02139, USA.",2004
397,"US FDA, Center for Devices and Radiological Health, Rockville, Maryland 20857, USA.",1999
398,"Homerton College, Cambridge School of Health Studies.",2004
399,"Neonatal Intensive Care Unit, Miller Children's Hospital, Long Beach, California and Department of Pediatrics, University of California, Irvine, California.",2004
400,"Department of Neurology and Neurosurgery, Chiba Emergency Medical Center, Chiba; Japan.",2004
401,"Department of Neurological Surgery, Okayama University Medical School, Okayama, Japan -",2004
402,"Section of Neuroradiology, Department of Radiology, University Hospital of Geneva, Geneva, Switzerland.",2003
403,"University of Kansas School of Medicine, USA.",2004
404,"Department of Obstetrics and Gynaecology, Swedish University of Agricultural Sciences, Centre for Reproductive Biology in Uppsala, Box 7039, 750 07.",2004
405,"Department of Chemistry, Section of Organic Chemistry, Biochemistry and Natural Products, Laboratory of Biochemistry, University of Patras, 26 500 Patras, Greece.",2004
406,"Department of Chemistry, School of Medicine, University of Patras, Greece.",1997
407,"Department of Neurological Surgery, Keck School of Medicine, University of Southern California, Los Angeles, USA.",2004
408,"Toxicology Research Task Group of the Phthalate Esters Panel of the American Chemistry Council, 1300 Wilson Blvd., Arlington, VA 22209, USA.",2004
409,"AppTec Laboratory Services, Atlanta, GA, USA.",2004
410,"Office of Science and Technology,  Food and Drug Administration, Rockville, Maryland, USA.",2004
411,"Center for Devices and Radiological Health,  Food & Drug Administration, Rockville, MD 20850, USA.",1998
412,"Center for Cost and Outcomes Research, University of Washington, Seattle, WA 98103, USA.",1998
413,"Department of Neurology, University of Pittsburgh, Pittsburgh, Pennsylvania 15213, USA.",2004
414,"University of Wisconsin-Madison School of Pharmacy, Madison, Wisconsin, USA.",2004
415,"Mid Cheshire Hospital Trust, Crewe, Cheshire, UK.",2004
416,"ASI Products Inc., Billerica, USA.",2004
417,"Celestica, Stoke-on-Trent, UK.",2004
418,CH-8800 Thalwil/Svizzera Säumerstrasse 45.,2004
419,"Department of Anesthesiology and Intensive Care, Karolinska Hospital, Stockholm, Sweden.",2004
420,"Columbia University, New York, NY 10032, USA.",2004
421,"School of Sociology, Faculty of Humanities, Languages & Social Sciences, University of the West of England, Bristol, UK.",2004
422,"Cardiovascular Division, Brigham and Women's Hospital, Boston, Massachusetts 02115, USA.",2004
423,"Cardiac Arrhythmia Service, Cardiovascular Division, Department of Medicine, Brigham and Women's Hospital, Boston, MA, USA.",2003
424,"Medical Institute of General Hygiene and Environmental Health, University of Goettingen, Goettingen, Germany.",2004
425,"Department of Environmental Health, Occupational Health Program, Harvard School of Public Health, Boston, Massachusetts 02115, USA.",2004
426,"Department of Environmental Health, Occupational Health Program, Harvard School of Public Health, Boston, MA 02115, USA.",2003
427,"Department of Pathobiology and Laboratory Medicine, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27516, USA.",2004
428,"Institut für Molekulare Infektionsbiologie, D-97070 Würzburg, Germany.",2004
429,"Materials Science Institute, Swiss Federal Institute of Technology (EPFL), CH-1015, Lausanne, Switzerland.",2004
430,"Department of Mechanical Engineering, Centre for Biomedical Materials Applications and Technology (BIOMAT), National University of Singapore, Kent Ridge, Singapore 119260, Singapore.",2004
431,"Lehigh Valley Hospital, Allentown, PA 18105-1556, USA.",2004
432,"University of Utah School of Medicine, Salt Lake City 84132, USA.",2004
433,"School of Health Information Sciences, University of Texas, Houston TX, USA.",2004
434,"Center for Biomedical Research, Population Council, New York, NY 10021, USA.",2004
435,"Biomaterials Center, National Institute for Materials Science, 1-1 Namiki, Tsukuba, Ibaraki 305-0044, Japan.",2004
436,"Vascular Biology Program, Department of Surgery, Children's Hospital, Harvard Medical School, Boston, MA 02115, USA.",2004
437,"Division of Infectious Diseases, Department of Medicine, Case Western Reserve University, Cleveland, Ohio 44106, USA.",2004
438,"Keele University, Stoke on Trent.",2004
439,"Department of Mechanical Engineering, Queen's University, Kingston, Ontario, Canada.",2004
440,"Bioengineering Center (CEBIO), Higher Technical University, José Antonio Echeverría, Cira Garcia Hospital, Playa, Havana, Cuba.",2004
441,"Department of Biomedical Engineering, Virginia Commonwealth University, Richmond, Virginia 23298, USA.",2004
442,"Department of Public Health Sciences, University of Alberta, Edmonton, Alberta, Canada.",2003
443,"Joslin Center for Diabetes, Morton Plant Mease Healthcare, Clearwater, Florida 33756, USA.",2003
444,"Insall Scott Kelly Institute for Orthopaedics and Sports Medicine, New York, NY 10003, USA.",2003
445,"Donawa & Associates Ltd., Via Fonte di Fauno 22, I-00153 Rome, Italy.",2003
446,"Donawa and Associates Ltd, an Aventor Partner, Via Fonte di Fauno 22, I-00153 Rome, Italy.",2002
447,"Donawa and Associates Ltd, Rome, Italy.",2000
448,"Donawa and Associates Ltd., Rome, Italy.",1999
449,"Donawa and Associates Ltd, Rome, Italy.",1999
450,"Donawa and Associates Ltd, Rome, Italy.",1998
451,"Donawa and Associates Ltd., Rome, Italy.",1998
452,"Donawa and Associates Ltd., Rome, Italy.",1998
453,"Donawa and Associates Ltd, Rome, Italy.",1998
454,"Donawa and Associates Ltd, Rome, Italy.",1998
455,"Donawa and Associates Ltd., Rome, Italy.",1997
456,"Donawa and Associates Ltd, Rome, Italy.",1997
457,"Donawa and Associates Ltd, Rome, Italy.",1997
458,"Donawa and Associates Ltd, Rome, Italy.",1997
459,"Donawa and Associates Ltd, Rome, Italy.",1997
460,"Donawa and Associates Ltd, Rome, Italy.",1997
461,"Donawa and Associates Ltd, Rome, Italy.",1997
462,"Donawa and Associates Ltd. Rome, Italy.",1996
463,"Donawa and Associates Ltd., Rome, Italy.",1996
464,"Donawa and Associates Ltd., Rome, Italy.",1996
465,"Donawa and Associates Ltd., Rome, Italy.",1996
466,"Donawa and Associates Ltd., Rome, Italy.",1996
467,"Donawa and Associates Ltd., Rome, Italy.",1995
468,"Donawa and Associates Ltd., Rome, Italy.",1995
469,"Donawa and Associates Ltd., Rome, Italy.",1995
470,"Donawa and Associates Ltd., Rome, Italy.",1995
471,"Donawa and Associates Ltd., Rome, Italy.",1994
472,"Donawa and Associates Ltd., Rome, Italy.",1994
473,"Department of Microbiology, University of Minnesota Medical School, Minneapolis, Minnesota 55455, USA.",2003
474,"Center for Devices and Radiological Health, Food and Drug Administration, 1350 Piccard Drive, Rockville, MD 20850, USA.",2003
475,"Center for Devices and Radiological Health, Food, and Drug Administration, Rockville, Maryland 20850, USA.",2000
476,"School of Business, Faculty of Engineering, National University of Singapore, Singapore.",2003
477,"Laboratory for Biomedical Engineering, Department of Mechanical Engineering, National University of Singapore, 5 Lower Kent Ridge Road, Singapore 119074.",2001
478,"Department of Chemical and Biological Engineering, University of Wisconsin-Madison, Madison, Wisconsin 53706, USA.",2003
479,"Hospitals of Funen, Denmark.",2003
480,"Departments of Microbiology, Miami University, 40 Pearson Hall, Oxford, OH 45056, USA.",2003
481,"Departments of Microbiology, Miami University, 40 Pearson Hall, Oxford, OH 45056, USA.",2003
482,"Departments of Botany, Miami University, 40 Pearson Hall, Oxford, OH 45056, USA.",2003
483,"Departments of Microbiology, Miami University, 40 Pearson Hall, Oxford, OH 45056, USA.",2003
484,"Laboratoire Polymères, Colloïdes et Interfaces (UMR CNRS 6120), Université du Maine, Avenue O. Messiaen, 72085 Le Mans, France.",2003
485,"Institute for Frontier Medical Sciences, Kyoto University, 53 Kawahara-cho, Shogoin, Sakyo-ku, Kyoto 606-8507, Japan.",2003
486,"Engineering Design Centre, Department of Engineering, University of Cambridge, Trumpington Street, Cambridge CB2 1PZ, UK.",2003
487,"Institute for Transfusion Medicine (Tissue Bank), University Hospital Charité, Berlin, Germany.",2003
488,"Mayo Clinic and Mayo Medical School, USA.",2003
489,"Department of Mechanical and Industrial Engineering, University of Toronto, Toronto, Ontario, Canada.",2003
490,"Boundary Layer Wind Tunnel Laboratory, University of Western Ontario, London, Ontario, Canada.",2003
491,"Angelo e Angela Valenti Centre of Health Economics (CESAV), Mario Negri Institute for Pharmacological Research, Bergamo, Italy.",2003
492,"Department of Materials Engineering, The University of Tokyo, Hongo, Bunkyo-ku, Tokyo 113-8656, Japan.",2003
493,"Biosurface Engineering Technologies, Inc., 387 Technology Drive, College Park, Maryland 20742-3371, USA.",2003
494,"Plastikkirurgiska Kliniken, Stockholm, Sweden.",2003
495,"National Agency for Medicines, Medical Devices Department, PO Box 55, FIN-00301 Helsinki, Finland.",2003
496,"Medical Devices Department, National Agency for Medicines, Helsinki, Finland.",2003
497,"National Centre for Medical Devices, Helsinki, Finland.",1995
498,"Faculty of Engineering, Chiba University, 1-33 Yayoi-cho, Inage-ku, Chiba 263-8522, Japan.",2003
499,"Department of Applied Chemistry, Tokyo Metropolitan University, 1-1 Minami-osawa, Hachioji, Tokyo 192-0397, Japan.",2003
500,"Wound Care, Doncaster Royal Infirmary, Doncaster.",2003
501,"School of Nursing, University of California-San Francisco, Box 0610, San Francisco, CA 94143-0610, USA.",2003
502,"Department of Physiological Nursing, School of Nursing, University of California, San Francisco, USA.",1995
503,"Department of Surgery, Southern California Permanente Medical Group, Kaiser Permanente Bellflower Medical Center, Bellflower, California 90706, USA.",2003
504,"General Surgery Devices Branch (GSDB),Division of General, Restorative and Neurological Devices,Office of Device Evaluation (ODE),Center for Devices and Radiological Health,Food and Drug Administration, Rockville, Maryland, USA.",2003
505,"University of Glamorgan, Wales.",2003
506,University of Glamorgan.,2002
507,"Pendragon Medical AG, Hagenholzstrasse 81a, CH-8050 Zürich, Switzerland.",2003
508,"Permabond, Eastleigh, UK.",2003
509,"SurModics Inc., 9924 West 74 Street, Eden Prairie, Minnesota 55344-3523, USA.",2003
510,"SurModics, Inc., Eden Prairie, Minnesota, USA.",2002
511,"DuPont Engineering Polymers, DuPont (UK) Ltd., Hemel Hempstead, UK.",2003
512,"Division of Ophthalmic and ENT Devices, Office of Device Evaluation, Center for Devices and Radiological Health, Food and Drug Administration, 9200 Corporate Boulevard, HFZ-460, Rockville, MD 20850, USA.",2003
513,"Doyen Medipharm Ltd, Barton, UK.",2003
514,"Department of Microbiology, Faculty of Medicine, University of Extremadura, Badajoz, Spain.",2003
515,"Department of Plastic and Reconstructive Surgery, University of Genoa, IST, National Cancer Institute Genoa, Largo Rosanna Benzi 10, 16132 Genoa, Italy.",2003
516,"Outcomes Research, Pharmacia Japan, Tokyo, Japan.",2003
517,"Business Development Department, Borgess Medical Center, 1521 Gull Road, Kalamazoo, MI 49048, USA.",2003
518,"NAMSA, 2261 Tracy Road, Northwood, Ohio 43619, USA.",2003
519,"Biomatech/NAMSA, Zone Industrielle de l'Islon, 115 rue Pasteur, F-38670 Chasse sur Rhône, France.",2003
520,"AST Products, Inc., Billerica, Massachusetts, USA.",2003
521,"Division of Experimental Pathology, Albany Medical College, New York 12208, USA.",1996
522,"Department of Surgery, Medical University Luebeck, Luebeck, Germany.",2003
523,"Division of Planning and Science, Department of Blood Purification Medical Devices, Toray Medical Co., Tokyo, Japan.",2003
524,"Japan Immunoresearch Laboratories, Takasaki, Japan.",2003
525,"Hatano Research Institute, Food and Drug Safety Center, Hadano, Kanagawa, Japan.",2000
526,"Development and Scientific Affairs Department, Asahi Medical Co., Tokyo, Japan.",2003
527,"Seoul National University Hospital, Seoul, Korea.",2003
528,"Institute for Frontier Medical Sciences, Kyoto University, 53 Kawahara-cho, Shogoin, Sakyo-ku, Kyoto 606-8507, Japan.",2003
529,"Genetic Services of Western Australia, King Edward Memorial Hospital for Women, Subiaco, WA, Australia.",2003
530,"Department of Materials Science and Engineering, Drexel University, 3141 Chestnut Street, Philadelphia, Pennsylvania 19104, USA.",2003
531,"Novozymes A/S, DK-2880 Bagsvaerd, Denmark.",2003
532,"Academic Medical Center, University of Amsterdam.",2003
533,"Centre for Bioengineering, Department of Mechanical Engineering, Trinity College, Dublin 2, Ireland.",2003
534,"Department of Mechanical Engineering, Trinity College, Dublin 2.",1999
535,"Department of Clinical Pharmacology, Friedrich Schiller University Jena, Germany.",2003
536,"Department of Clinical Pharmacology, Friedrich Schiller University of Jena, Germany.",2002
537,"Department of Clinical Pharmacology, Friedrich Schiller University of Jena, Germany.",2001
538,"Infectious Diseases Unit and Microbiology Department, Canberra Hospital, Woden, ACT.",2002
539,"Woden Valley Hospital, Canberra, ACT.",1996
540,"Division of Mechanics & Materials Science, HFZ-150, US Food and Drug Administration, Center for Devices and Radiological Health, Office of Science and Technology, 9200 Corporate Blvd, Rockville, MD 20850, USA.",2002
541,"Division of Mechanics and Materials Science,  Food and Drug Administration, Center for Devices and Radiological Health, Office of Science and Technology, 9200 Corporate Blvd, HFZ-150, Rockville, Md. 20850, USA.",2002
542,"Department of Ophthalmology, The University of Texas Southwestern Medical Center, 5323 Harry Hines Boulevard, Dallas, TX 75390-9057, USA.",2003
543,"Institute of Polymer Research Dresden and The Max Bergmann Center of Biomaterials Dresden, Hohe Str. 6, 01069 Dresden, Germany.",2003
544,"School of Pharmacy and Biomolecular Sciences, University of Brighton, Moulsecoomb, Brighton, BN2 4GJ, UK.",2003
545,"Whatman Inc., 9 Bridewell Place, Clifton, New Jersey, USA.",2003
546,"Rapra Technology Ltd, Shawbury, Shrewsbury SY4 4NR, UK.",2003
547,"Scientific and Regulatory Consultancy Group, Covance Laboratories Ltd, Harrogate HG3 1PY, UK.",2003
548,"Administración Nacional de Medicamentos, Alimentos y Tecnología Médica, Av. De Mayo 869, Buenos Aires, Argentina.",2003
549,"Orthopaedic Department, University of Basel, Basel, Switzerland.",2003
550,"School of Systems Management Engineering, Sungkyunkwan University, 300 Chonchon-Dong, Jangan-Gu, Suwon, Kyonggi-Do 440-746, South Korea.",2003
551,"Critical Care and Cardiovascular Program, Children's Hospital of Boston, Newton Centre, MA, USA.",2003
552,Walsall Primary Care NHS Trust.,2003
553,"Department of Pathology, SUNY Downstate Medical Center, Brooklyn, NY 11203, USA.",2003
554,"Department of Cardiothoracic Surgery Mount Sinai Medical Center New York, NY 10029, USA.",2003
555,"Department of Microbiology, The General Infirmary at Leeds1 and University of Leeds2, Leeds LS1 3EX, UK.",2003
556,"Department of Microbiology, The General Infirmary at Leeds1 and University of Leeds2, Leeds LS1 3EX, UK.",2003
557,"Department of Microbiology, The General Infirmary at Leeds1 and University of Leeds2, Leeds LS1 3EX, UK.",2003
558,"Department of Microbiology, The General Infirmary at Leeds1 and University of Leeds2, Leeds LS1 3EX, UK.",2003
559,"Department of Microbiology, The General Infirmary at Leeds1 and University of Leeds2, Leeds LS1 3EX, UK.",2003
560,"Department of Experimental and Clinical Microbiology, University of Sheffield Medical School, UK.",1994
561,"Masterplan, Inc, 21540 Plummer St, Chatsworth, CA 91311-4103, USA.",2001
562,"Ticona GmbH, Kelsterbach, Germany.",2003
563,"AdvaMed, Washington, District of Columbia, USA.",2003
564,"Pearson Matthews Ltd, Kingston, UK.",2003
565,"Pearson Matthews Design Partnership, Kingston Upon Thames, UK.",1999
566,"AVX Corp., Raleigh, North Carolina, USA.",2003
567,"Sensirion AG, Zurich, Switzerland.",2003
568,"U. S. Food and Drug Administration, Division of Ophthalmic and ENT Devices, Rockville, MD 20850, USA.",2003
569,"Department of Cardiology, Marshfield Clinic, University of Wisconsin Medical School, Marshfield, Wisconsin 54449, USA.",2003
570,"Department of Biomedical Engineering, Columbia University, New York, NY 10027, USA.",2003
571,"Department of Electrical and Computer Engineering, Biomedical Engineering Laboratory, National Technical University of Athens, 9 Iroon Polytechniou Str., GR-15773 Zografou, Greece.",2003
572,"Department of Dermatology, Peking University First Hospital, Beijing, China.",2003
573,"Food and Drug Administration, Winchester Engineering and Analytical Center, 109 Holton Street, Winchester, MA 01890, USA.",2003
574,"Indiana University's Kelley School of Business, Bloomington, USA.",2003
575,"Food and Drug Administration, Rockville, Maryland, USA.",2003
576,"Department of Pharmaceutics, Biopharmaceutics and Biotechnology, The Free University of Berlin, D-12169 Berlin, Germany.",2003
577,"University of Southern Denmark, Department of Health Economics, Institute of Public Health, Odense, Denmark.",2003
578,"Department of Epidemiology and Biostatistics, Free University Amsterdam, The Netherlands.",1995
579,"Department of Physics and Materials Science, City University of Hong Kong, 83 Tat Chee Avenue, Hong Kong, Kowloon, China.",2003
580,"Department of Biomaterials, Faculty of Dentistry, University of Toronto, 124 Edward Street, Toronto, Ont., Canada M5G 1G6.",2003
581,"Department of Biomaterials, Faculty of Dentistry, University of Toronto, ON, Canada.",1997
582,"Cardiovascular Devices Division, University of Ottawa Heart Institute, ON, Canada.",2001
583,"University of Ottawa Heart Institute, ON, Canada.",1999
584,"Cardiovascular Devices Division and Department of Biochemistry, University of Ottawa Heart Institute, Ottawa, Ontario, Canada.",1997
585,"Faculty of Dentistry, Department of Biomaterials, University of Toronto, Toronto, Ontario, Canada.",1997
586,"Center for Devices and Radiological Health, Office of Surveillance and Biometrics, Food and Drug Administration, Rockville, MD 20850, USA.",2002
587,"Engineered Tissue Mechanics Laboratory, McGowan Institute for Regenerative Medicine and the Department of Bioengineering, University of Pittsburgh, Pittsburgh, Pennsylvania 15219, USA.",2003
588,"Department of Mechanical Engineering, Rose-Hulman Institute of Technology, Terre Haute, IN 47803, USA.",2003
589,"Allergy Care Center, Camarillo, California 93010, USA.",2003
590,"Unité de recherche en biologie parasitaire et fongique, Laboratoire de parasitologie et mycologie médicales, CHU La Milètrie, 86021 Poitiers Cedex, France.",2003
591,"Unité de recherche en biologie parasitaire et fongique, Laboratoire de parasitologie et mycologie médicales, CHU La Milètrie, 86021 Poitiers Cedex, France.",2003
592,"Laboratoire de Parasitologie et Mycologie Médicales, Centre Hospitalier Universitaire La Milétrie, BP 577, 86021 Poitiers Cedex, France.",2003
593,"Unité de recherche en biologie parasitaire et fongique, Laboratoire de parasitologie et mycologie médicales, CHU La Milètrie, 86021 Poitiers Cedex, France.",2003
594,"Unité de recherche en biologie parasitaire et fongique, Laboratoire de parasitologie et mycologie médicales, CHU La Milètrie, 86021 Poitiers Cedex, France.",2003
595,"Unité de recherche en biologie parasitaire et fongique, Laboratoire de parasitologie et mycologie médicales, CHU La Milètrie, 86021 Poitiers Cedex, France.",2003
596,"Department of Medical Physics, Royal Infirmary of Edinburgh, Edinburgh.",2003
597,"Department of Medical Physics and Medical Engineering, Royal Infirmary of Edinburgh, Edinburgh EH3 9YW, UK.",2002
598,"University of California, Berkeley, USA.",2003
599,"Program in Political Science and European Union Studies Center, City University of New York. NY 10016-4309, USA.",2003
600,"Graduate School and University Center of the City University of New York, NY 10036, USA.",1995
601,"Biomaterials Research Center, Korea Institute of Science and Technology, Cheongryang, Seoul.",1998
602,"AVX Corp., 801 17th Avenue South, Myrtle Beach, South Carolina 29578 0867, USA.",2003
603,"Tiromat Medical Packaging, Frisco, Texas, USA.",2003
604,"Centre of Infection and Department of Microbiology, Faculty of Medicine, University of Hong Kong, People's Republic of China.",2003
